"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACFC","Atlantic Coast Federal Corporation","1.97","5179250.17","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATRC","AtriCure, Inc.","6.9","114880211.4","n/a","1979","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc",
"AUBN","Auburn National Bancorporation, Inc.","21.13","76973695.19","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"AUTH","AuthenTec, Inc.","8.0401","360802647.2593","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/auth",
"AWRE","Aware, Inc.","6.35","141787479.95","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/awre",
"BWINA","Baldwin & Lyons, Inc.","21.65","321873321.2","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","23.3008","346415976.1024","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BLDP","Ballard Power Systems, Inc.","0.955","87365719.695","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BOCH","Bank of Commerce Holdings (CA)","4.2799","69613108.4875","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boch",
"BV","Bazaarvoice, Inc.","15.48","1068042058.2","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bv",
"BBXT","BBX Capital Corporation","32.36","0","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bbxt",
"BCBP","BCB Bancorp, Inc. (NJ)","10.34","90218754.12","n/a","2005","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcbp",
"BCSB","BCSB Bancorp, Inc.","13.25","42249811.25","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcsb",
"BFED","Beacon Federal Bancorp, Inc.","20.79","128979081","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfed",
"BBGI","Beasley Broadcast Group, Inc.","5.13","117018485.73","n/a","2000","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/bbgi",
"BERK","Berkshire Bancorp, Inc.","8.55","123258492.9","n/a","1972","Finance","Major Banks","http://www.nasdaq.com/symbol/berk",
"BGMD","BG Medicine, Inc.","3.98","80164988.86","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/bgmd",
"BIOC","BioClinica, Inc","5.5","85738416.5","n/a","n/a","Health Care","Precision Instruments","http://www.nasdaq.com/symbol/bioc",
"BPAX","Biosante Pharmaceuticals, Inc.","1.3599","29899858.8393","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bpax",
"BSTC","BioSpecifics Technologies Corp","19","120316588","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bstc",
"BSPM","Biostar Pharmaceuticals, Inc.","1.251","11759670.216","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"ADRA","BLDRS Asia 50 ADR Index Fund","23.86","27439000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adra",
"ADRD","BLDRS Developed Markets 100 ADR Index Fund","19.98","48951000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adrd",
"ADRE","BLDRS Emerging Markets 50 ADR Index Fund","39","352950000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adre",
"ADRU","BLDRS Europe 100 ADR Index Fund","20.019","14013300","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adru",
